세트 좆간디,1
모조리 체포 강재 추방해라 난장판 만드는 외국이들 엄중 단속 않하면 대한민국 개판된다 경찰 뭐하나,1
뒤져야겠다고 감성팔이해서 준 거…?;;;,1
인간세대의 세계가!!! 씨1발 계속 될것이다!!!!,1
코리안 마더 파커 이지랄,1
20대인 여자가 40대인 남자에게 마구잡이 폭행을 하고 성추행협의까지 뒤집어 씌우려 한 행동은 악마의 행동이다. 절대 합의해 주지말라 감옥에 가서 썩고 나와야 그 여자 버릇 고쳐진다. 합의 안해주는게 좋다.,1
믿어야지씨발,1
ㅅㅂ나한태왜그래,1
왓슨아...나좃됫어..,1
씨발..;;,1
헤드리스병신년,1
일본 자민당 소속 놈들이 우리나라 야당 같은 소리하고있네,1
ㅂㅅ 그걸 켰어야지,1
이 새기 오타 지적하는거,1
씨발 그래서 pvp갤 나빼고 다뒤짐?,1
극우들 이제 트럼프도 빨갱이라 하겠네 ㅋㅋㅋ,1
ㄱ보지년,1
나 사실 존나 많으뉘ㅣ,1
개같ㅇ은데,1
오늘 쿠키 질렀다. ㅅㅂ,1
병신 이라고하는거임,1
주인이 불쾌하다 싶을때 이래라 저래라 하는건 괜찮은데 3자가 끼어들어서 ㅈㄹ 하는건 좀 아니라 보는데?,1
좃그지는,1
예수쟁이들 자체를 다 몰살시켜야된다. 이 시기에 집회하는 전광훈이 새끼도 기독교잖아.,1
디노 좆같고,1
뭔 좆같은칼임,1
그건 ㅗㅁ,1
250은솔직히졷이긴하던데,1
야이 개새꺄!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
준기 암걸리는 거 보고 뒤질려고,1
오예 빨갱이 잡으러 가즈아,1
딸딸이도못치는년,1
ㅅㅂ 그딴게 어딨어,1
세월호 얘기 하지 말아 이제는 듣기만 해도 욕나온다 기자 새키야 그리구 다음부터는 니 심장을 찔러 그래야 디지니까,1
ㅅㅂ 그걸 모른다잖아,1
저새끼 개빡치게한적있어,1
아 진짜 욕나오네... 나중에 제발 자식들에게 철저히 외면받고 버려지는 노후를 보내길,1
자해공갈단이냐,1
그럼왜여기서말해 궁금하게 ㅅㅂ,1
문빠들만 모르는 사실. 애초에 북은 미국의 협상 상대가 아니야. 북이 무슨 힘이 있더냐? 그냥 어른이 어린아이 타이르는 상황과 다를바 없다 이거지. 완전 비핵화시 이런 협상이란 단어조차 쓸수 없는거다. 그리고 핵 포기시 카다피 후세인의 전철을 밟을수 있다는 불안감 때문에 절대 쉽게 포기할수 없는거다. 문빠들아 깨어나라. 제재완화를 염원하는 빨갱이 정권에 속지마라.,1
섹47스,1
가라개발자 새끼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
시[,1
좆망리그,1
씨발 스폰킬,1
아니 씨발 무슨 에브를,1
서버에 병신 많아지면 망합니다 💀,1
쿠마편ㅗㅗㅗㅗ,1
만듥ㅎ 플레이 안함 ㅅㅂ ㅋㅋㅋ,1
싸가지없게 행동하면,1
아니 저 새끼가 자꾸,1
존나지,1
언놈은 휴가반납하고 여행다니고 아베는 앞에 나서서 입장표명하고 빨갱이 간첩을 뽑은 개돼지들 때문이다,1
빡대가리새끼,1
응테란개좆밥,1
존나 안붙음,1
아 그래 시발 니말이,1
니가제일ㅈ같애,1
뭔 개소리를 하더냐 걔는,1
나만 ㅈ같네 이 ㅈ같은 세상,1
씨발냄새나는데,1
병4{$+1**>-+신,1
존나암걸리네,1
텐즈닥쳐,1
이설아엿먹어,1
아니뭔개소리야 ㅅㅂ,1
지랄은 니가햇고요,1
시불알,1
개찐따년아,1
조선인은 첨부터 미개했고 지금도 미개하고 앞으로도 미개할것이다,1
이샠기야,1
